Age,DailyRate,DistanceFromHome,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Attrition
34,665,6,1,3,2,3,4809,0,16,3,3,16,13,10,No
37,1040,2,3,2,2,4,5163,1,17,2,4,1,0,0,No
59,1420,2,3,2,5,4,18844,1,30,3,3,3,2,2,No
50,1115,1,1,3,5,2,18172,0,28,1,2,8,3,7,No
25,240,5,3,2,2,3,5744,0,6,1,3,6,4,3,Yes
25,1280,7,4,2,1,4,2889,2,2,2,3,2,2,1,No
22,534,15,2,3,1,4,2871,0,1,5,3,0,0,0,No
51,1456,1,1,2,3,1,7484,0,23,1,2,13,12,8,No
34,658,7,1,1,2,3,6074,0,9,3,3,9,7,6,Yes
54,142,26,4,4,4,4,17328,0,23,3,3,5,3,4,No
24,1127,18,2,3,1,3,2774,1,6,2,3,5,3,2,No
34,1031,6,3,2,2,2,4505,1,12,3,3,1,0,0,No
37,1189,3,3,3,3,4,7428,0,12,3,3,5,3,3,No
34,1354,5,3,2,3,1,11631,0,14,6,3,11,10,8,No
36,1467,11,2,3,3,4,9738,1,10,6,3,9,7,8,No
36,922,3,1,3,1,4,2835,1,7,2,3,1,0,0,No
43,394,26,3,3,4,4,16959,2,25,3,4,25,12,12,No
30,1312,23,1,1,1,3,2613,3,10,2,2,10,7,9,No
33,750,22,3,3,2,2,6146,1,8,2,4,7,7,7,No
56,441,14,2,3,1,2,4963,3,7,2,3,5,4,3,Yes
51,684,6,1,3,5,3,19537,0,23,5,3,20,18,15,No
31,249,6,2,1,2,3,6172,0,12,3,2,7,7,7,Yes
26,841,6,3,2,1,2,2368,0,5,3,2,5,4,3,No
58,147,23,4,3,3,4,10312,1,40,3,2,40,10,6,Yes
19,528,22,4,3,1,3,1675,0,0,2,2,0,0,0,Yes
22,594,2,3,3,1,4,2523,1,3,2,3,2,1,1,No
49,470,20,3,3,2,1,6567,0,16,2,2,15,11,11,No
43,957,28,2,4,1,3,4739,0,18,2,3,3,2,2,No
50,809,12,3,3,3,4,9208,0,16,3,3,2,2,1,No
31,542,20,2,1,2,3,4559,1,4,2,3,2,2,2,Yes
41,802,9,3,3,3,3,8189,1,12,2,3,9,7,7,No
26,1355,25,3,3,1,3,2942,1,8,3,3,8,7,7,No
36,216,6,2,3,2,2,4941,2,7,0,3,3,2,1,No
51,1150,8,1,1,3,4,10650,0,18,2,3,4,2,3,Yes
39,1329,4,4,2,2,3,5902,1,17,1,4,15,11,9,No
25,959,28,1,2,2,3,8639,0,6,3,3,2,2,2,No
30,1240,9,3,3,2,4,6347,0,12,2,1,11,9,7,No
32,1033,9,1,3,1,1,4200,0,10,2,4,5,4,4,Yes
45,1316,29,3,3,1,4,3452,0,9,2,2,6,5,3,No
38,364,3,4,3,2,3,4317,0,19,2,3,3,2,2,No
30,438,18,1,3,1,3,2632,0,5,4,2,5,4,4,No
32,689,9,4,1,2,4,4668,3,9,2,4,8,7,7,No
30,201,5,4,3,1,1,3204,1,8,3,3,3,2,2,No
30,1427,2,2,2,1,4,2720,0,6,3,3,5,3,2,No
41,857,10,4,2,4,1,17181,1,21,2,2,7,6,7,No
41,933,9,3,3,1,1,2238,1,7,2,3,5,0,4,No
19,1181,3,2,3,1,2,1483,0,1,3,3,1,0,0,No
40,1395,26,2,3,2,2,5605,1,20,2,3,20,7,13,No
35,662,1,3,3,3,2,7295,2,10,3,3,10,8,6,No
53,1436,6,2,3,2,3,2306,1,13,3,1,7,7,5,No
45,194,9,2,3,2,2,2348,1,20,2,1,17,9,15,No
32,967,8,2,3,3,4,8998,0,9,2,3,9,8,7,No
29,1496,1,4,3,2,3,4319,1,10,1,3,10,7,9,No
51,1169,7,2,2,2,3,6132,0,10,2,3,1,0,0,No
58,1145,9,2,2,1,2,3346,1,9,3,2,1,0,0,No
40,630,4,3,2,3,4,10855,1,15,2,2,12,11,11,No
34,303,2,3,3,1,3,2231,1,6,3,3,4,3,2,No
22,1256,19,3,3,1,4,2323,2,2,6,3,2,2,2,No
27,691,9,4,3,1,2,2024,1,6,1,1,2,2,2,No
28,440,21,3,3,1,4,2713,1,5,2,1,5,2,2,No
57,334,24,3,4,3,4,9439,1,12,2,1,5,3,4,No
27,1450,3,3,2,1,3,2566,1,1,2,2,1,1,1,No
50,1452,11,3,3,5,2,19926,0,21,5,3,5,4,4,No
41,465,14,1,3,1,3,2451,1,13,2,3,9,8,8,No
30,1339,5,2,3,3,4,9419,1,12,2,3,10,9,4,No
38,702,1,1,2,2,4,8686,0,12,2,4,8,3,7,No
32,120,6,3,3,1,3,3038,0,8,2,3,5,4,4,No
27,1157,17,3,3,1,2,3058,1,6,3,2,5,2,1,No
19,602,1,3,1,1,1,2325,0,1,5,4,0,0,0,Yes
36,1480,3,4,3,1,2,2088,0,13,3,2,8,7,2,No
30,111,9,3,3,2,1,3072,2,12,4,3,12,9,10,No
45,1268,4,3,3,2,1,5006,1,9,3,4,5,4,3,No
56,713,8,3,3,1,1,4257,1,19,3,3,2,2,2,No
33,134,2,3,3,1,4,2500,0,4,2,4,3,1,2,No
19,303,2,2,2,1,4,1102,0,1,3,2,1,0,0,Yes
46,526,1,2,3,3,1,10453,3,24,2,3,24,13,7,No
38,1380,9,3,3,1,4,2288,0,2,3,3,2,2,1,No
31,140,12,3,3,1,4,3929,1,7,0,3,4,2,2,No
34,629,27,4,3,1,2,2311,0,9,3,3,3,2,2,No
41,1356,20,2,3,1,2,3140,0,4,5,2,4,3,2,Yes
50,328,1,3,2,1,3,3690,1,5,2,2,3,2,2,No
53,1084,13,4,4,2,1,4450,2,5,3,3,4,2,3,No
33,931,14,4,3,1,2,2756,1,8,5,3,8,7,6,No
40,989,4,4,3,5,3,19033,1,21,2,3,20,8,9,No
55,692,14,3,4,5,2,18722,0,36,3,3,24,15,15,No
34,1069,2,4,2,2,3,9547,0,10,2,2,10,9,9,No
51,313,3,4,3,4,2,13734,0,21,6,3,7,7,0,No
52,699,1,3,2,5,3,19999,1,34,5,3,33,18,9,No
27,894,9,4,3,1,2,2279,0,7,2,2,7,7,3,No
35,556,23,2,2,2,3,5916,0,8,1,3,1,0,1,Yes
43,1344,7,4,4,1,4,2089,3,7,3,4,5,4,2,No
45,1195,2,1,2,4,4,16792,1,22,1,3,20,8,8,No
37,290,21,2,4,1,1,3564,1,8,3,2,8,7,7,No
35,138,2,2,3,2,2,4425,0,10,5,3,6,2,2,No
42,926,21,3,3,2,3,5265,1,11,5,3,5,3,2,No
38,1261,2,4,3,2,3,6553,0,14,3,3,1,0,0,No
38,1084,29,4,3,2,4,6261,1,9,3,1,7,7,7,No
27,472,1,3,2,2,1,4298,1,6,1,3,2,2,0,No
49,1002,18,4,3,2,4,6804,2,7,0,3,7,7,7,No
34,878,10,4,3,1,3,3815,1,5,4,4,5,3,0,No
40,905,19,3,3,2,4,2741,1,15,2,4,7,2,7,No
38,1180,29,2,3,2,1,6673,0,17,2,3,1,0,0,Yes
29,121,27,2,3,3,4,7639,3,10,3,2,10,4,9,Yes
22,1136,5,4,4,1,2,2328,1,4,2,2,4,2,2,No
36,635,18,2,3,1,4,2153,0,8,2,3,8,1,7,No
40,1151,9,4,2,2,4,4876,1,5,5,1,3,2,2,No
46,644,1,4,3,3,1,9396,1,17,3,3,4,2,3,No
32,1045,4,4,1,3,4,10400,0,14,2,2,14,8,8,Yes
30,829,1,3,2,3,3,8474,0,12,2,3,11,8,8,No
27,1242,20,4,3,2,3,9981,0,7,2,3,7,7,7,No
51,1469,8,2,2,3,2,12490,2,16,5,1,10,9,7,No
30,1005,3,4,3,1,1,2657,0,8,5,3,5,2,4,Yes
41,896,6,4,3,3,4,13591,0,16,3,3,1,0,0,No
30,334,26,3,2,2,1,6696,0,9,5,2,6,3,1,Yes
29,992,1,3,3,1,3,2058,0,7,1,2,6,2,5,Yes
45,1052,6,4,2,3,4,8865,0,23,2,3,19,7,8,No
54,1147,3,4,3,2,1,5940,1,16,4,3,6,2,5,No
36,1396,5,4,3,2,2,5914,0,16,3,4,13,11,7,No
33,147,4,3,2,1,2,2622,0,7,3,3,3,2,1,No
37,663,11,2,3,3,4,12185,3,10,1,3,10,8,7,No
38,119,3,1,3,3,3,10609,2,17,6,2,16,10,13,No
31,979,1,3,1,2,3,4345,1,6,2,3,5,4,4,No
59,142,3,3,2,1,4,2177,1,7,6,3,1,0,0,No
37,319,4,1,3,1,4,2793,1,13,2,3,9,8,8,No
29,1413,1,2,3,3,4,7918,1,11,5,3,11,10,1,No
35,944,1,3,3,3,3,8789,0,10,3,4,10,7,8,No
29,896,18,3,2,1,4,2389,0,4,3,2,4,3,1,Yes
52,1323,2,3,2,1,4,3212,0,6,3,2,2,2,2,No
42,532,4,3,3,5,4,19232,0,22,3,3,22,17,15,No
59,818,6,2,3,1,3,2267,0,7,2,2,2,2,2,No
50,854,1,4,3,5,4,19517,1,32,3,2,7,0,6,No
33,813,14,3,3,1,4,2436,1,8,2,1,5,4,4,Yes
43,1034,16,4,3,4,4,16064,1,22,3,3,17,13,9,No
33,465,2,1,3,1,1,2707,0,13,3,4,9,7,7,Yes
52,771,2,1,2,5,3,19068,0,33,2,4,33,7,12,No
32,1401,4,3,3,1,2,3931,1,6,5,3,4,3,2,No
32,515,1,4,2,1,3,3730,0,4,2,1,3,2,2,Yes
39,1431,1,3,3,1,3,2232,3,7,1,3,3,2,2,No
32,976,26,3,3,2,4,4465,0,4,2,3,3,2,2,No
41,1411,19,3,3,2,1,3072,2,17,2,2,1,0,0,No
40,1300,24,1,3,2,4,3319,2,9,3,3,9,8,7,No
45,252,1,3,4,5,4,19202,1,25,2,3,24,0,7,No
31,1327,3,2,3,3,3,13675,1,9,3,3,2,2,2,No
33,832,5,3,2,1,4,2911,1,2,2,2,2,2,2,No
34,470,2,4,2,2,1,5957,1,13,3,3,11,9,9,No
37,1017,1,3,2,1,1,3920,1,17,2,2,3,1,2,No
45,1199,7,1,4,2,3,6434,1,9,1,3,3,2,2,No
37,504,10,1,3,3,3,10048,2,17,5,3,1,0,0,Yes
39,505,2,3,3,3,3,10938,0,20,1,3,19,6,8,No
29,665,15,3,3,1,4,2340,0,6,1,3,6,5,5,No
42,916,17,4,4,2,1,6545,0,10,1,3,3,2,2,No
29,1247,20,4,3,2,4,6931,1,10,2,3,3,2,2,No
25,685,1,1,3,2,3,4898,2,5,3,3,4,2,2,No
42,269,2,4,2,1,1,2593,1,10,4,3,9,6,8,No
40,1416,2,1,3,5,3,19436,1,22,5,3,21,7,9,No
51,833,1,3,3,1,4,2723,0,1,0,2,1,0,0,No
31,307,29,3,2,1,2,3479,0,6,2,4,5,4,4,Yes
32,1311,7,2,4,1,2,2794,0,5,3,1,5,1,3,No
38,1327,2,4,2,2,4,5249,1,13,0,3,8,7,5,No
32,128,2,4,2,2,1,2176,0,9,5,3,6,2,4,No
46,488,2,3,1,4,2,16872,1,28,2,2,7,7,7,No
28,529,2,1,3,1,3,3485,0,5,5,1,0,0,0,Yes
29,1210,2,1,2,2,2,6644,2,10,2,3,0,0,0,No
31,1463,23,2,2,2,4,5582,1,10,2,3,9,0,8,No
25,675,5,2,4,2,1,4000,2,6,2,3,6,3,5,No
45,1385,20,3,3,4,4,13496,0,21,2,3,20,7,10,No
36,1403,6,4,3,1,4,3210,1,16,4,3,15,13,11,No
55,452,1,4,3,5,1,19045,0,37,2,3,36,10,13,No
47,666,29,1,3,3,2,11849,1,10,2,2,10,7,9,Yes
28,1158,9,4,3,1,4,2070,1,5,3,2,5,2,4,No
37,228,6,3,3,2,4,6502,1,7,5,4,5,4,1,No
21,996,3,4,2,1,3,3230,0,3,4,4,3,2,0,No
37,728,1,1,3,3,4,13603,2,15,2,3,5,2,2,No
35,1315,22,2,4,3,2,11996,1,10,6,2,7,7,2,No
38,322,7,1,4,2,1,5605,1,8,3,3,8,0,7,No
26,1479,1,3,3,2,2,6397,1,6,6,1,6,5,4,No
50,797,4,1,3,5,2,19144,2,28,4,2,10,4,6,No
53,1070,3,3,3,4,3,17584,3,21,5,2,5,3,3,No
42,635,1,2,3,2,3,4907,0,20,3,3,20,16,6,No
29,442,2,2,3,2,4,4554,0,10,3,2,10,7,9,No
55,147,20,2,3,2,4,5415,1,12,4,3,10,7,8,No
26,496,11,1,3,2,1,4741,1,5,3,3,5,3,3,No
37,1372,1,4,3,1,4,2115,0,17,3,3,17,12,7,No
44,920,24,4,3,1,3,3161,1,19,0,1,1,0,0,Yes
38,688,23,4,3,2,4,5745,1,10,2,3,2,2,2,No
26,1449,16,1,3,1,2,2373,1,5,2,3,3,2,2,Yes
28,1117,8,4,3,1,4,3310,0,5,3,3,5,3,2,No
49,636,10,3,3,5,1,18665,0,22,4,3,3,2,2,No
36,506,3,3,3,2,2,4485,0,10,2,3,8,0,7,No
31,444,5,4,3,1,2,2789,1,2,5,2,2,2,2,No
26,950,4,4,2,2,4,5828,0,8,0,3,8,7,4,Yes
37,889,9,2,3,1,4,2326,3,4,3,2,4,2,2,No
42,555,26,3,3,4,2,13525,1,23,2,4,20,4,8,No
18,230,3,3,3,1,3,1420,0,0,2,3,0,0,0,Yes
35,1232,16,3,3,3,2,8020,2,12,3,2,11,9,9,No
36,566,18,3,4,1,4,3688,2,4,2,3,1,0,0,No
51,1302,2,4,1,2,2,5482,1,13,3,3,4,1,2,No
41,334,2,4,3,4,2,16015,0,22,2,3,22,10,4,No
18,812,10,4,2,1,3,1200,0,0,2,3,0,0,0,No
28,1476,16,2,4,2,1,5661,0,9,2,3,8,3,7,No
31,218,7,2,4,2,4,6929,1,10,3,2,8,7,7,No
39,1132,1,3,4,3,4,9613,3,19,5,2,18,10,7,No
36,1105,24,2,3,2,2,5674,1,11,3,3,9,8,8,No
32,906,7,4,2,2,3,5484,1,13,3,2,13,8,8,No
38,849,25,1,2,3,2,12061,1,19,2,3,10,8,1,No
58,390,1,4,1,2,3,5660,1,12,2,3,5,3,2,No
31,691,5,3,3,1,4,4821,1,6,4,3,5,2,3,No
31,106,2,1,2,2,1,6410,0,9,1,3,2,2,0,No
45,1249,7,1,3,3,1,5210,1,24,2,3,24,9,11,No
31,192,2,3,3,1,4,2695,1,3,2,1,2,2,2,No
33,553,5,4,3,3,2,11878,2,12,2,3,10,6,8,No
39,117,10,3,3,4,1,17068,0,21,3,3,21,9,10,No
43,185,10,3,3,1,4,2455,0,9,5,3,8,7,7,No
49,1091,1,3,2,4,3,13964,0,25,2,3,7,1,7,No
52,723,8,3,2,2,2,4941,0,11,3,2,8,2,7,Yes
27,1220,5,3,3,1,2,2478,0,4,2,2,4,3,2,No
32,588,8,3,2,2,2,5228,0,13,2,3,13,12,9,No
27,1377,2,4,3,2,3,4478,0,5,3,3,5,4,4,No
31,691,7,4,3,2,4,7547,3,13,3,3,7,7,7,No
32,1018,2,1,4,2,4,5055,0,10,0,2,7,7,7,No
28,1157,2,1,1,1,4,3464,0,5,4,2,3,2,2,Yes
30,1275,28,4,3,2,4,5775,2,11,2,3,10,8,9,No
31,798,7,3,2,3,3,8943,1,10,2,3,10,9,9,No
39,672,7,3,2,5,4,19272,1,21,2,3,21,9,3,No
39,1162,3,4,3,2,3,5238,0,12,3,2,1,0,0,Yes
33,508,10,2,2,2,4,4682,0,9,6,2,7,7,1,No
47,1482,5,4,3,5,3,18300,1,21,2,3,3,2,1,No
43,559,10,3,2,2,3,5257,1,9,3,4,9,7,0,No
27,210,1,3,3,2,2,6349,1,6,0,3,5,4,4,No
54,928,20,4,3,2,3,4869,0,20,4,2,4,3,3,No
43,1001,7,3,3,3,1,9985,1,10,1,2,1,0,0,No
45,549,8,4,3,2,4,3697,2,12,3,3,10,9,8,No
40,1124,1,2,1,2,4,7457,3,6,2,2,4,3,2,No
29,318,8,2,1,1,1,2119,0,7,4,2,7,7,7,Yes
29,738,9,2,2,1,4,3983,0,4,2,3,3,2,2,No
30,570,5,4,2,2,3,6118,3,10,2,3,10,9,2,No
27,1130,8,2,3,2,2,6214,1,8,3,3,8,7,7,No
37,1192,5,4,3,2,4,6347,2,8,2,2,6,2,4,No
38,343,15,3,2,3,4,11510,1,12,3,3,11,10,9,No
31,1232,7,3,3,3,4,7143,0,11,2,2,11,9,10,No
29,144,10,4,2,2,2,8268,2,7,2,3,7,7,7,No
35,1296,5,3,3,3,2,8095,0,17,5,3,16,6,13,No
23,1309,26,3,3,1,4,2904,2,4,2,2,4,2,2,No
41,483,6,4,2,2,2,6032,0,8,3,3,5,4,2,No
47,1309,4,2,3,2,3,2976,0,5,3,3,0,0,0,No
42,810,23,1,3,4,4,15992,0,16,2,3,1,0,0,No
29,746,2,4,3,2,3,4649,1,4,3,2,4,3,2,No
42,544,2,3,3,1,3,2696,1,4,5,3,3,2,0,No
32,1062,2,3,3,1,2,2370,1,8,4,3,8,0,7,No
48,530,29,1,3,3,3,12504,1,15,3,1,0,0,0,No
37,1319,6,3,4,2,1,5974,2,13,2,3,7,7,7,No
30,641,25,4,3,2,3,4736,1,4,2,4,2,2,2,No
26,933,1,3,3,2,3,5296,1,8,3,3,8,7,7,No
42,1332,2,1,2,2,4,6781,0,14,6,3,1,0,0,No
21,756,1,1,2,1,2,2174,0,3,3,3,3,2,2,Yes
36,845,1,4,3,2,4,6653,0,7,6,3,1,0,0,No
36,541,3,1,2,3,4,9699,1,16,2,3,13,9,12,No
57,593,1,4,3,2,3,6755,0,15,2,3,3,2,2,No
40,1171,10,4,4,1,3,2213,1,10,3,3,7,7,7,No
21,895,9,1,3,1,4,2610,0,3,3,2,3,2,2,No
33,350,5,4,3,1,3,2851,0,1,2,3,1,0,0,Yes
37,921,10,3,3,1,1,3452,1,17,3,3,5,4,3,No
46,1144,7,3,3,2,3,5258,0,7,2,4,1,0,0,No
41,143,4,1,3,2,2,9355,0,8,5,3,8,7,7,Yes
50,1046,10,4,2,3,4,10496,0,20,2,3,4,3,3,No
40,575,22,3,2,2,3,6380,2,8,6,3,6,4,0,Yes
31,408,9,3,2,1,2,2657,0,3,5,3,2,2,2,No
21,156,12,3,4,1,2,2716,0,1,0,3,1,0,0,Yes
29,1283,23,4,3,1,4,2201,0,6,4,3,3,2,2,No
35,755,9,3,2,2,2,6540,0,10,5,3,1,1,0,No
27,1469,1,4,3,1,2,3816,1,5,2,3,5,2,4,No
28,304,9,2,3,2,4,5253,0,7,1,3,7,5,7,No
49,1261,7,2,2,3,3,10965,0,26,2,3,5,2,0,No
51,1178,14,3,3,2,4,4936,1,18,2,2,7,7,7,No
36,329,2,4,3,1,3,2543,1,6,3,3,2,2,2,No
34,1362,19,1,4,2,4,5304,0,9,3,2,5,2,4,Yes
55,1311,2,3,3,4,4,16659,0,30,2,3,5,4,2,No
24,1371,10,4,3,2,3,4260,1,5,2,4,5,2,3,No
30,202,2,3,3,1,2,2476,1,1,3,3,1,0,0,No
26,575,3,3,3,1,1,3102,0,7,2,3,6,4,4,Yes
22,253,11,1,3,1,2,2244,1,2,1,3,2,1,2,No
36,164,2,2,2,3,3,7596,2,10,2,3,10,9,0,No
30,464,4,3,3,1,4,2285,0,3,4,3,1,0,0,Yes
37,1107,14,4,3,1,1,3034,1,18,2,2,18,7,17,No
40,759,2,4,3,2,2,5715,2,8,5,3,5,4,3,No
42,201,1,2,3,1,1,2576,1,8,5,3,5,2,2,No
37,1305,10,3,3,2,2,4197,0,18,2,2,1,0,1,No
43,982,12,1,2,4,2,14336,1,25,3,3,25,10,9,No
40,555,2,2,2,2,3,3448,1,20,3,3,1,0,0,No
54,821,5,1,3,5,1,19406,1,24,4,2,4,2,2,No
34,1381,4,3,3,2,3,6538,1,6,3,3,3,2,2,No
31,480,7,2,3,2,1,4306,1,13,5,1,13,10,12,No
43,313,21,4,3,1,4,2258,1,8,1,3,3,2,2,No
43,1473,8,3,3,2,3,4522,0,8,3,3,5,2,2,No
25,891,4,2,2,2,4,4487,0,5,3,3,5,4,3,No
37,1063,25,2,3,2,3,4449,2,15,2,3,13,11,7,No
31,329,1,4,2,1,1,2218,1,4,3,3,4,2,2,No
39,1218,1,2,3,5,3,19197,1,21,3,3,21,8,6,No
56,906,6,3,4,4,1,13212,3,36,0,2,7,7,7,No
30,1082,12,2,3,2,3,6577,0,6,6,3,5,4,4,No
41,645,1,2,4,3,1,8392,1,10,2,3,10,7,7,No
28,1300,17,3,3,2,1,4558,1,10,2,3,10,0,8,No
25,688,3,1,3,1,1,4031,1,6,5,3,2,2,2,Yes
52,319,3,4,2,3,3,7969,0,28,4,3,5,4,4,No
